Admin1 name,Admin1 pcode,Admin2 name,Admin2 pcode,Host Community_PiN,IDPs_PiN,Non-displaced Population_PiN,Refugees_PiN,Host Community_Targeted,IDPsHost Community_Targeted,Non-displaced PopulationHost Community_Targeted,RefugeesHost Community_Targeted
West Kordofan,SD18,An Nuhud,SD18022," 35,968 "," 35,968 "," 84,760 ", -   ," 20,589 "," 17,988 "," 37,274 ", -   
West Kordofan,SD18,Abu Zabad,SD18028," 10,404 "," 9,795 "," 23,343 ", 609 ," 7,189 "," 4,898 "," 11,305 ", 609 
West Kordofan,SD18,Wad Bandah,SD18029," 4,607 "," 4,603 "," 43,487 ", 4 ," 4,607 "," 4,603 "," 17,394 ", 4 
West Kordofan,SD18,Keilak,SD18085," 20,693 "," 11,730 "," 9,372 "," 8,937 "," 20,041 "," 7,625 "," 9,372 "," 8,937 "
West Kordofan,SD18,As Salam - WK,SD18086," 20,589 "," 17,906 "," 11,306 "," 2,683 "," 20,589 "," 11,730 "," 8,319 "," 2,683 "
West Kordofan,SD18,Abyei,SD18087," 21,945 "," 18,772 "," 30,423 "," 3,173 "," 9,319 "," 9,565 "," 15,145 "," 3,173 "
West Kordofan,SD18,As Sunut,SD18092," 7,189 "," 7,189 "," 43,349 ", -   ," 7,189 "," 7,189 "," 24,088 ", -   
West Kordofan,SD18,Babanusa,SD18100," 20,273 "," 14,214 "," 9,245 "," 6,059 "," 20,273 "," 14,214 "," 4,481 "," 6,059 "
West Kordofan,SD18,Al Lagowa,SD18102," 21,878 "," 21,876 "," 18,996 ", 2 ," 21,878 "," 19,596 "," 8,158 ", 2 
West Kordofan,SD18,Al Dibab,SD18103," 8,230 "," 8,230 "," 25,186 ", -   ," 8,230 "," 8,230 "," 15,997 ", -   
